Дата оплаты	Лицевой счет	Сумма
05.02.2021	091509405	1101,31
05.02.2021	091509531	1312,93
05.02.2021	091509555	3031,82
05.02.2021	091509556	2902,25
05.02.2021	091509557	3005,90
05.02.2021	091509558	2971,35
05.02.2021	091604156	1042,69
05.02.2021	091604237	1412,69
05.02.2021	091604399	1585,66
05.02.2021	091604400	2782,12
05.02.2021	091605005	826,47
05.02.2021	091605216	911,28
05.02.2021	091605600	2167,08
05.02.2021	091605608	1984,48
05.02.2021	091605656	1071,52
05.02.2021	091605704	1124,38
05.02.2021	091605705	100,91
05.02.2021	091605715	33,63
05.02.2021	091605720	1420,89
05.02.2021	091606123	1431,90
05.02.2021	091609470	591,03
05.02.2021	091609480	2666,81
05.02.2021	091701026	533,36
05.02.2021	091705055	355,57
05.02.2021	091705071	2296,81
05.02.2021	091705246	2349,67
05.02.2021	091705263	1811,50
05.02.2021	091705303	1114,77
05.02.2021	091705304	365,18
05.02.2021	091705351	2396,96
05.02.2021	091705445	1696,18
05.02.2021	091705446	3392,36
05.02.2021	091705447	917,77
05.02.2021	091706234	1541,82
05.02.2021	091708026	3036,79
05.02.2021	091708096	3546,12
05.02.2021	091708097	2637,97
05.02.2021	091709207	1686,57
05.02.2021	091801033	2586,98
05.02.2021	091802194	2450,58
05.02.2021	091804080	1230,09
05.02.2021	091804087	1225,29
05.02.2021	091804095	245,05
05.02.2021	091804177	2535,15
05.02.2021	091804353	1845,14
05.02.2021	091804407	1979,68
05.02.2021	091804411	1675,71
05.02.2021	091804412	1114,26
05.02.2021	091804413	747,16
05.02.2021	091804414	1714,58
05.02.2021	091805068	2762,91
05.02.2021	091805355	2003,70
05.02.2021	091807174	842,18
05.02.2021	091808052	129,57
05.02.2021	091808060	840,89
05.02.2021	091808166	1657,74
05.02.2021	091808187	2267,98
05.02.2021	091808240	3291,46
05.02.2021	091808257	3426,00
05.02.2021	091808360	1018,67
05.02.2021	091808361	2569,51
05.02.2021	091808478	349,83
05.02.2021	091808538	1090,40
05.02.2021	091808580	1686,57
05.02.2021	091808589	3104,06
05.02.2021	091808653	312,33
05.02.2021	091808676	1153,21
05.02.2021	091808689	3017,56
05.02.2021	091808695	3176,14
05.02.2021	091808705	1109,94
05.02.2021	091901175	1071,52
05.02.2021	091901382	863,76
05.02.2021	091901422	1265,42
05.02.2021	091903013	2979,13
05.02.2021	091903157	1340,61
05.02.2021	091903260	615,04
05.02.2021	091903538	1133,99
05.02.2021	091903596	1528,00
05.02.2021	091903719	422,84
05.02.2021	091903926	591,03
05.02.2021	091903967	1114,77
05.02.2021	091903989	1153,21
05.02.2021	091903995	1417,50
05.02.2021	091906051	2431,35
05.02.2021	091906934	2969,52
05.02.2021	091906935	2974,32
05.02.2021	091907741	1061,91
05.02.2021	092001152	2657,20
05.02.2021	092001444	1624,11
05.02.2021	092002086	2887,83
05.02.2021	092005016	182,59
05.02.2021	092005090	744,78
05.02.2021	092005678	235,44
05.02.2021	092005712	1816,31
05.02.2021	092005714	1364,63
05.02.2021	092006253	1518,39
05.02.2021	092006279	1287,75
05.02.2021	092006280	1667,35
05.02.2021	092007696	2362,54
05.02.2021	092007821	1436,71
05.02.2021	092007825	2955,11
05.02.2021	092008099	1902,79
05.02.2021	092008107	1009,06
05.02.2021	092008117	1166,08
05.02.2021	092008207	735,17
05.02.2021	092008298	820,58
05.02.2021	092008352	67,28
05.02.2021	092008359	610,24
05.02.2021	092008369	461,28
05.02.2021	092008424	2263,18
05.02.2021	092008426	3051,21
05.02.2021	092008429	2061,36
05.02.2021	092008431	902,64
05.02.2021	092008433	2513,04
05.02.2021	092008434	1258,92
05.02.2021	092008436	902,64
05.02.2021	092008437	1801,89
05.02.2021	092008438	2561,09
05.02.2021	092008439	2873,42
05.02.2021	092008440	2229,55
05.02.2021	092008484	3762,35
05.02.2021	092008499	1507,27
05.02.2021	092008500	1416,57
05.02.2021	092008501	1028,28
05.02.2021	092008502	1144,49
05.02.2021	092008506	2479,40
05.02.2021	092008518	932,87
05.02.2021	092008519	2656,08
05.02.2021	092008520	872,40
05.02.2021	092008521	2310,58
05.02.2021	092008522	2239,15
05.02.2021	092008523	583,05
05.02.2021	092008524	310,96
05.02.2021	092008545	22220,36
05.02.2021	092008546	20700,13
05.02.2021	092008547	18596,86
05.02.2021	100105093	985,04
05.02.2021	100106030	908,15
05.02.2021	100119224	1974,87
05.02.2021	100119225	1037,89
05.02.2021	100122212	1028,28
05.02.2021	100145127	124,93
05.02.2021	100202066	672,71
05.02.2021	100202079	341,16
05.02.2021	100214157	1926,83
05.02.2021	100215247	418,04
05.02.2021	100216071	2575,50
05.02.2021	100217052	216,23
05.02.2021	100302058	267,77
05.02.2021	100304339	1215,68
05.02.2021	100311096	499,73
05.02.2021	100317010	124,93
05.02.2021	100320025	2402,52
05.02.2021	100402046	864,90
05.02.2021	100411056	1931,63
05.02.2021	100411088	773,61
05.02.2021	100503108	1196,46
05.02.2021	100511189	197,01
05.02.2021	100606026	488,03
05.02.2021	100610190	1723,21
05.02.2021	100611057	1494,37
05.02.2021	100615005	331,55
05.02.2021	100619352	1167,63
05.02.2021	100620166	912,96
05.02.2021	100626091	1700,98
05.02.2021	100627051	2647,58
05.02.2021	100627176	2147,85
05.02.2021	100628035	2662,00
05.02.2021	100628050	354,14
05.02.2021	100630093	639,07
05.02.2021	100631054	1888,38
05.02.2021	100631099	850,49
05.02.2021	100649031	2349,67
05.02.2021	100649032	2426,55
05.02.2021	100649033	2868,61
05.02.2021	100701112	2022,93
05.02.2021	100701205	1503,99
05.02.2021	100701221	1532,81
05.02.2021	100703118	2509,24
05.02.2021	100707142	355,57
05.02.2021	100708097	561,45
05.02.2021	100709063	307,53
05.02.2021	100803118	1278,13
05.02.2021	100806081	2599,53
05.02.2021	100807079	1196,46
05.02.2021	100809048	855,29
05.02.2021	100809051	1167,63
05.02.2021	100809084	922,57
05.02.2021	100809123	1797,09
05.02.2021	100810083	148,95
05.02.2021	100810136	2392,91
05.02.2021	100810137	2368,89
05.02.2021	100813355	2340,06
05.02.2021	100813434	1671,39
05.02.2021	100813577	2438,26
05.02.2021	100813688	634,27
05.02.2021	100813758	924,23
05.02.2021	100813767	576,61
05.02.2021	100813772	1004,26
05.02.2021	100813790	1393,46
05.02.2021	100813800	1096,98
05.02.2021	100813811	2940,68
05.02.2021	100814260	730,37
05.02.2021	100818082	1537,62
05.02.2021	100818341	1431,90
05.02.2021	100818502	2120,55
05.02.2021	100819206	1066,72
05.02.2021	100819239	826,47
05.02.2021	100819243	1004,26
05.02.2021	100819366	3339,51
05.02.2021	100819372	466,09
05.02.2021	100819383	2133,45
05.02.2021	100819385	1345,41
05.02.2021	100819387	3325,49
05.02.2021	100909089	898,54
05.02.2021	100912100	2038,49
05.02.2021	100915032	1037,89
05.02.2021	100917115	1311,78
05.02.2021	100918027	1893,19
05.02.2021	100919041	1342,81
05.02.2021	100920110	269,08
05.02.2021	100920257	1624,11
05.02.2021	100923109	1033,09
05.02.2021	100926031	1556,84
05.02.2021	100926247	557,38
05.02.2021	100926316	2157,47
05.02.2021	100992042	91,30
05.02.2021	101014077	56,14
05.02.2021	101014159	667,90
05.02.2021	101015125	2594,72
05.02.2021	101105047	2032,54
05.02.2021	101106173	1758,64
05.02.2021	101112080	2330,46
05.02.2021	101112127	2541,87
05.02.2021	101115043	739,98
05.02.2021	101203129	600,64
05.02.2021	101204136	970,62
05.02.2021	101207041	615,04
05.02.2021	101208016	2066,17
05.02.2021	101209103	576,61
